Stadium,Capacity,City,Country,Region,Teams,Sports
Estadio Alberto J. Armando (La Bombonera),49000,Buenos Aires,Argentina,South America,Club Atlético Boca Juniors,Association football
Queensland Sport and Athletics Centre,49000,Brisbane,Australia,Oceania,,"Rugby league, Athletics"
Oriole Park at Camden Yards,48876,Baltimore,United States,North America,Baltimore Orioles,Baseball
Jinnah Sports Stadium,48800,Islamabad,Pakistan,South Asia,Pakistan national football team*,"Association football, cricket, hockey"
Parc des Princes,48712,Paris,France,Europe,Paris Saint-Germain,Association football
Frankenstadion,48548,Nuremberg,Germany,Europe,1. FC Nürnberg,Association football
Nelson Mandela Bay Stadium,48459,Port Elizabeth,South Africa,Africa,"Southern Kings, Eastern Province Elephants","Rugby union, association football"
Estadio Tomás Adolfo Ducó,48314,Buenos Aires,Argentina,South America,Club Atlético Huracán,Association football
T-Mobile Park,48116,Seattle,United States,North America,Seattle Mariners,Baseball
Harbin ICE Sports Center,48000,Harbin,China,East Asia,,Athletics
Sydney Cricket Ground,48000,Sydney,Australia,Oceania,"Australia national cricket team*, Sydney Roosters, New South Wales Blues (cricket), Sydney 6ers, Sydney Swans, Sydney FC","Cricket, Australian rules football, rugby league, Association football"
Estadio Malvinas Argentinas,48000,Mendoza,Argentina,South America,Ciudad de Mendoza,Association football
Koshien Stadium,47757,Nishinomiya,Japan,East Asia,Hanshin Tigers,Baseball
Fisht Olympic Stadium,47659,Sochi,Russia,Europe,PFC Sochi,"Association football, athletics"
Estadio Monumental David Arellano,47017,Santiago,Chile,South America,Colo-Colo,Association football
Estadio Nacional Julio Martínez Prádanos,47000,Santiago,Chile,South America,"Chile national football team, Universidad de Chile*","Association football, athletics"
Rice Stadium,47000,Houston,United States,North America,Rice Owls football,American football
Tokyo Dome,47000,Tokyo,Japan,East Asia,Yomiuri Giants,Baseball
Estádio Olímpico Nilton Santos,46931,Rio de Janeiro,Brazil,South America,Botafogo,"Association football, athletics"
Busch Stadium,46861,St. Louis,United States,North America,St. Louis Cardinals,Baseball
Estadio Metropolitano,46788,Barranquilla,Colombia,South America,"Colombia national football team, Atlético Junior",Association football
Estadio El Campín,46018,Bogotá,Colombia,South America,"Millonarios, Independiente Santa Fe",Association football
ACA-VDCA Stadium,46000,Visakhapatnam,India,South Asia,"Andhra cricket team, Sunrisers Hyderabad*",Cricket
Itaipava Arena Pernambuco,46000,São Lourenço da Mata,Brazil,South America,Clube Náutico Capibaribe,Association football
Estádio Olímpico Monumental,46000,Porto Alegre,Brazil,South America,,Association football
Peter Mokaba Stadium,46000,Polokwane,South Africa,Africa,,Association football
Estádio Paulo Constantino,45954,Presidente Prudente,Brazil,South America,,Association football
Rice-Eccles Stadium,45634,Salt Lake City,United States,North America,Utah Utes football,American football
Estadio Olímpico Pascual Guerrero,45625,Cali,Colombia,South America,América de Cali,Association football
Estadio Nacional,45574,Lima,Peru,South America,Peru national football team,Association football
Volgograd Arena,45568,Volgograd,Russia,Europe,FC Rotor Volgograd,Association football
Páirc Uí Chaoimh,45500,Cork,Ireland,Europe,Cork GAA,"Hurling, Gaelic football"
Estádio Ilha do Retiro,45500,Recife,Brazil,South America,Sport Club do Recife,Association football
Estadio Ramón Sánchez Pizjuán,45500,Seville,Spain,Europe,Sevilla FC,Association football
Stade Adrar,45480,Agadir,Morocco,Africa,Hassania Agadir,Association football
Robert F. Kennedy Memorial Stadium,45423,"Washington, D.C.",United States,North America,,"Association football, American football, baseball"
Otkrytie Arena,45360,Moscow,Russia,Europe,FC Spartak Moscow,Association football
Mandela National Stadium,45202,Kampala,Uganda,Africa,Uganda national football team,Association football
McLane Stadium,45140,"Waco, Texas",United States,North America,Baylor Bears football,American football
Wrocław Municipal Stadium,45105,Wrocław,Poland,Europe,Śląsk Wrocław,Association football
Kazan Arena,45105,Kazan,Russia,Europe,FC Rubin Kazan,"Association football, athletics"
Estadio Garcilaso,45056,Cusco,Peru,South America,Cienciano del Cuzco,Association football
Angel Stadium of Anaheim,45050,"Anaheim, California",United States,North America,Los Angeles Angels,Baseball
Estádio Olímpico do Pará,45007,Belém,Brazil,South America,"Paysandu Sport Club*, Clube do Remo*",Association football
Ashgabat Olympic Stadium,45000,Ashgabat,Turkmenistan,Central Asia,Turkmenistan national football team,Association football
Harapan Bangsa Stadium,45000,Banda Aceh,Indonesia,Southeast Asia,Persiraja Banda Aceh,Association football
"National Hockey Stadium, Lahore",45000,Lahore,Pakistan,South Asia,Pakistan national field hockey team,Hockey
Arena Corinthians,45000,São Paulo,Brazil,South America,Sport Club Corinthians Paulista,Association football
Estadio Rommel Fernández,45000,Panama City,Panama,South America,Federación Panameňa de Fútbol (FEPAFUT),"Association football, athletics"
Bangabandhu National Stadium,45000,Dhaka,Bangladesh,South Asia,"Bangladesh national football team, Bangladesh League","Association football, athletics"
Barabati Stadium,45000,Cuttack,India,South Asia,Orissa Cricket Association,Cricket
Vidarbha Cricket Association Stadium Jamtha,45000,Nagpur,India,South Asia,Vidarbha cricket team,Cricket
Abbasiyyin Stadium,45000,Damascus,Syria,West Asia,"Al-Jaish, Al-Wahda, Al Majd",Association football
Allianz Parque,45000,São Paulo,Brazil,South America,Sociedade Esportiva Palmeiras,Association football
Kobe Universiade Memorial Stadium,45000,Kobe,Japan,East Asia,Vissel Kobe*,Association football
Qingdao Guoxin Stadium,45000,Qingdao,China,East Asia,,Association football
Captain Roop Singh Stadium,45000,Gwalior,India,South Asia,Madhya Pradesh Cricket Association,Cricket
Estádio da Machava,45000,Maputo,Mozambique,Africa,Mozambique national football team,Association football
Estádio Universitário Pedro Pedrossian,45000,Campo Grande,Brazil,South America,Universidade Federal de Mato Grosso do Sul,Association football
Fatorda Stadium,45000,Margao,India,South Asia,"Dempo SC, Salgaocar SC Goa, Sporting Clube de Goa",Association football
Fez Stadium,45000,Fes,Morocco,Africa,Maghreb Fez,Association football
Free State Stadium,45000,Bloemfontein,South Africa,Africa,"Free State Cheetahs, Cheetahs, Bloemfontein Celtic",Rugby union
Green Park Stadium,45000,Kanpur,India,South Asia,Uttar Pradesh cricket team,Cricket
Rostov Arena,45000,Rostov-on-Don,Russia,Europe,FC Rostov,Association football
Stade El Menzah,45000,Tunis,Tunisia,Africa,"Club Africain, Espérance",Association football
Toyota Stadium,45000,Toyota,Japan,East Asia,Nagoya Grampus*,Association football
Citi Field,45000,New York City,United States,North America,New York Mets,Baseball
Yantai Sports Park Stadium,45000,"Yantai, Shandong",China,East Asia,local football teams,Association football
Panathenaic Stadium,45000,Athens,Greece,Europe,,Athletics
Stade de Marrakech,45000,Marrakech,Morocco,Africa,Kawkab Marrakech,Association football
Stade Omar Bongo,45000,Libreville,Gabon,Africa,FC 105 Libreville,Association football
National Stadium,45000,Lagos,Nigeria,Africa,Nigeria national football team*,Association football
Grand Stade de Tanger,45000,Tangier,Morocco,Africa,IR Tanger,Association football
Zibo Sports Center Stadium,45000,"Zibo, Shandong",China,East Asia,local football teams,Association football
Weifang Sports Center Stadium,45000,"Weifang, Shandong",China,East Asia,local football teams,Association football
Orlando Stadium,45000,Johannesburg,South Africa,Africa,"Orlando Pirates, Kaiser Chiefs, Moroka Swallows",Association football
Zayed Sports City Stadium,45000,Abu Dhabi,United Arab Emirates,West Asia,UAE President Cup finals,Association football
Wankhede Stadium,45000,Mumbai,India,South Asia,"Mumbai cricket team, Mumbai Indians, Indian national cricket team*",Cricket
Kanchenjunga Stadium,45000,Siliguri,India,South Asia,local football teams,Association football
Latakia Sports City Stadium,45000,Latakia,Syria,West Asia,,Association football
Samara Arena,44918,Samara,Russia,Europe,PFC Krylia Sovetov Samara,Association football
Nizhny Novgorod Stadium,44899,Nizhny Novgorod,Russia,Europe,FC Nizhny Novgorod,Association football
Alumni Stadium,44500,"Chestnut Hill, Massachusetts",United States,North America,Boston College Eagles football,American football
Arena Amazonia,44500,Manaus,Brazil,South America,"América Futebol Clube, Nacional Futebol Clube, Atlético Rio Negro Clube",Association football
Cần Thơ Stadium,44400,Cần Thơ,Vietnam,Southeast Asia,local football teams,"Association football, athletics"
Bounce House,44206,"Orlando, Florida",United States,North America,UCF Knights football,American football
Estádio Governador Alberto Tavares Silva,44200,Teresina,Brazil,South America,Esporte Clube Flamengo*,Association football
Gwangju World Cup Stadium,44118,Gwangju,South Korea,East Asia,Gwangju FC,Association football
Ulsan Munsu Football Stadium,44102,Ulsan,South Korea,East Asia,Ulsan Hyundai,Association football
Amon G. Carter Stadium,44008,"Fort Worth, Texas",United States,North America,TCU Horned Frogs football,American football
Levy Mwanawasa Stadium,44000,Ndola,Zambia,Africa,Zambia national football team,Association football
Suwon World Cup Stadium,43959,Suwon,South Korea,East Asia,Suwon Samsung Bluewings,Association football
Riau Main Stadium,43923,Pekanbaru,Indonesia,Southeast Asia,,Association football
Shandong Provincial Stadium,43700,"Jinan, Shandong",China,East Asia,local football teams,Association football
Vasil Levski National Stadium,43632,Sofia,Bulgaria,Europe,Bulgaria national football team,Association football
PGE Arena Gdańsk,43615,Gdańsk,Poland,Europe,Lechia Gdańsk,Association football
Citizens Bank Park,43500,Philadelphia,United States,North America,Philadelphia Phillies,Baseball
Mbombela Stadium,43500,Nelspruit,South Africa,Africa,,Association football
El Nuevo Gasómetro,43494,Buenos Aires,Argentina,South America,Club Atlético San Lorenzo de Almagro,Association football
Jeonju World Cup Stadium,43348,Jeonju,South Korea,East Asia,Jeonbuk Hyundai Motors,Association football
Progressive Field,43345,"Cleveland, Ohio",United States,North America,Cleveland Indians,Baseball
Poznań Municipal Stadium,43269,Poznań,Poland,Europe,Lech Poznań,Association football
Ōita Bank Dome,43254,Ōita,Japan,East Asia,Ōita Trinita,Association football
Reser Stadium,43154,"Corvallis, Oregon",United States,North America,Oregon State Beavers football,American football
Stadio Artemio Franchi,43147,Florence,Italy,Europe,ACF Fiorentina,Association football
Saifai International Cricket Stadium,43000,Saifai,India,South Asia,Uttar Pradesh cricket team,Cricket
Estadio Universidad San Marcos,43000,Lima,Peru,South America,Universidad San Marcos,Association football
Fitzgerald Stadium (Staidiam Mhic Gearailt),43000,Killarney,Ireland,Europe,Kerry GAA,"Gaelic football, hurling"
Arena Pantanal,43000,Cuiabá,Brazil,South America,"Clube Esportivo Dom Bosco, Mixto Esporte Clube",Association football
Ullevi,43000,Gothenburg,Sweden,Europe,,"Association football, athletics"
Arena das Dunas,43000,Natal,Brazil,South America,Federação Norte-rio-grandense de Futebol,Association football
Sapporo Dome,42831,Sapporo,Japan,East Asia,"Consadole Sapporo, Hokkaido Nippon-Ham Fighters","Association football, baseball"
Villa Park,42788,Birmingham,United Kingdom,Europe,Aston Villa F.C.,Association football
Zhuzhou Stadium,42740,"Zhuzhou, Hunan",China,East Asia,local football teams,Association football
Estadio Cuauhtémoc,42648,Puebla,Mexico,North America,Puebla F.C.,Association football
Estadio Metropolitano de Mérida,42500,Mérida,Venezuela,South America,Estudiantes de Mérida FC,Association football
St. Jakob-Park,42500,Basel,Switzerland,Europe,FC Basel,Association football
Perak Stadium,42500,Ipoh,Malaysia,Southeast Asia,Perak FA,Association football
Weserstadion,42500,Bremen,Germany,Europe,Werder Bremen,Association football
Kanjuruhan Stadium,42449,Malang,Indonesia,Southeast Asia,Arema FC,Association football
Petco Park,42445,San Diego,United States,North America,San Diego Padres,Baseball
Tohoku Electric Power Big Swan Stadium,42300,Niigata,Japan,East Asia,Albirex Niigata,Association football
Jeju World Cup Stadium,42256,Seogwipo,South Korea,East Asia,Jeju United FC,Association football
American Family Field,42200,Milwaukee,United States,North America,Milwaukee Brewers,Baseball
Nouveau Stade de Bordeaux,42115,Bordeaux,France,Europe,"FC Girondins de Bordeaux, Union Bordeaux Bègles*","Association football, rugby union"
Great American Ball Park,42059,Cincinnati,United States,North America,Cincinnati Reds,Baseball
Stamford Bridge,42055,London,United Kingdom,Europe,Chelsea F.C.,Association football
Estádio do Zimpeto,42055,Maputo,Mozambique,Africa,,"Association football, athletics"
The Gabba,42000,Brisbane,Australia,Oceania,"Australia national cricket team*, Queensland Bulls, Brisbane Heat, Brisbane Lions","Cricket, Australian rules football"
McHale Park (Páirc Mhic Éil),42000,Castlebar,Ireland,Europe,Mayo GAA,"Gaelic football, hurling"
Estadio Universitario,42000,San Nicolás de los Garza,Mexico,North America,Tigres de la UANL,Association football
Arena da Baixada,42000,Curitiba,Brazil,South America,Atlético Paranaense,Association football
Chengdu Sports Centre,42000,"Chengdu, Sichuan",China,East Asia,Chengdu Blades,Association football
Stade Geoffroy-Guichard,42000,Saint-Étienne,France,Europe,AS Saint-Étienne,Association football
Estadio Hernando Siles,42000,La Paz,Bolivia,South America,"La Paz F.C., Club Bolívar*, The Strongest*",Association football
Royal Bafokeng Stadium,42000,Phokeng,South Africa,Africa,Platinum Stars F.C.,"Rugby union, association football, athletics"
Vodafone Stadium,41903,Istanbul,Turkey,West Asia,Beşiktaş J.K.,Association football
Darul Makmur Stadium,41895,Kuantan,Malaysia,Southeast Asia,Pahang FA,"Association football, Athletics"
Nationals Park,41888,"Washington, D.C.",United States,North America,Washington Nationals,Baseball
Estadio Gigante de Arroyito,41654,Rosario,Argentina,South America,Rosario Central,Association football
Stadio Friuli,41652,Udine,Italy,Europe,Udinese Calcio,Association football
Estádio Serra Dourada,41574,Goiânia,Brazil,South America,"Goiás Esporte Clube*, Vila Nova Futebol Clube*",Association football
Allianz Stadium (Juventus Stadium),41507,Turin,Italy,Europe,Juventus F.C.,Association football
Wuyuan River Stadium,41506,Haikou,China,East Asia,,"Athletics, concerts"
Oracle Park,41503,San Francisco,United States,North America,San Francisco Giants,"Baseball, American football"
Estadio Morelos,41500,Morelia,Mexico,North America,Monarcas Morelia,Association football
Vanderbilt Stadium,41448,"Nashville, Tennessee",United States,North America,Vanderbilt Commodores football,American football
Goyang Stadium,41311,Goyang,South Korea,East Asia,Goyang KB,Association football
Polideportivo Cachamay,41300,Ciudad Guayana,Venezuela,South America,Atlético Club Mineros de Guayana,Association football
Daejeon World Cup Stadium,41295,Daejeon,South Korea,East Asia,Daejeon Citizen,Association football
Plaza México,41262,Mexico City,Mexico,North America,,Bullfighting
Stade Félix-Bollaert,41233,Lens,France,Europe,RC Lens,Association football
Sonny Lubick Field at Canvas Stadium,41200,"Fort Collins, Colorado",United States,North America,Colorado State Rams football,American football
Truist Park,41149,Atlanta,United States,North America,Atlanta Braves,Baseball
Wrigley Field,41118,Chicago,United States,North America,Chicago Cubs,Baseball
Comerica Park,41070,Detroit,United States,North America,Detroit Tigers,Baseball
Dinamo Stadium,41040,Minsk,Belarus,Europe,"Belarus national football team, Dinamo Minsk",Association football
Bulldog Stadium,41031,"Fresno, California",United States,North America,Fresno State Bulldogs football,American football
M. M. Roberts Stadium,41000,"Hattiesburg, Mississippi",United States,North America,Southern Miss Golden Eagles football,American football
Estadio Olímpico Atahualpa,41000,Quito,Ecuador,South America,"Sociedad Deportivo Quito, Club Deportivo El Nacional",Association football
Minute Maid Park,40950,"Houston,",United States,North America,Houston Astros,Baseball
Estadio Atanasio Girardot,40943,Medellín,Colombia,South America,"Atlético Nacional, Independiente Medellín",Association football
Suzhou Olympic Sports Centre,40933,Suzhou,China,East Asia,,Athletics
Kauffman Stadium,40793,"Kansas City, Missouri",United States,North America,Kansas City Royals,Baseball
Estadio Defensores del Chaco,40759,Asunción,Paraguay,South America,Asociacion Paraguaya de Futbol,Association football
Kashima Soccer Stadium,40728,Kashima,Japan,East Asia,Kashima Antlers,Association football
Estadio Campeón del Siglo,40700,Montevideo,Uruguay,South America,Club Atlético Peñarol,Association football
Ladd–Peebles Stadium,40646,"Mobile, Alabama",United States,North America,South Alabama Jaguars football,American football
Guaranteed Rate Field,40615,Chicago,United States,North America,Chicago White Sox,Baseball
Helsinki Olympic Stadium,40600,Helsinki,Finland,Europe,Finland national football team,"Association football, athletics"
Baotou Olympic Sports Centre Stadium,40545,Baotou,China,East Asia,,Athletics
Estadio Couto Pereira,40502,Curitiba,Brazil,South America,Coritiba Foot Ball Club,Association football
Estadi Cornellà-El Prat,40500,Barcelona,Spain,Europe,RCD Espanyol,Association football
Nagoya Dome,40500,Nagoya,Japan,East Asia,Chunichi Dragons,Baseball
Estadio Ciudad de Lanús – Néstor Díaz Pérez,40320,Lanús,Argentina,South America,Club Atlético Lanús,Association football
Estadio Metropolitano de Fútbol de Lara,40312,Barquisimeto,Venezuela,South America,Unión Lara,Association football
Globe Life Field,40300,Arlington,United States,North America,Texas Rangers,Baseball
Lukas Enembe Stadium,40263,Jayapura,Indonesia,Southeast Asia,,"Association football, athletics"
Estádio Municipal Paulo Machado de Carvalho,40199,São Paulo,Brazil,South America,"Corinthians, Santos, Palmeiras",Association football
Mỹ Đình National Stadium,40192,Hanoi,Vietnam,Southeast Asia,Vietnam national football team,Association football
Goodison Park,40158,Liverpool,United Kingdom,Europe,Everton F.C.,Association football
Estadio George Capwell,40024,Guayaquil,Ecuador,South America,Club Sport Emelec,Association football
OSC Metalist,40003,Kharkiv,Ukraine,Europe,"Metalist 1925 Kharkiv, Shakhtar Donetsk",Association football
"Jawaharlal Nehru Stadium, Kochi",40000,"Kochi, Kerala",India,South Asia,"Kerala Blasters FC, India national football tea",Association football
Paris La Défense Arena,40000,Paris,France,Europe,Racing 92,Rugby runion
"Jawaharlal Nehru Stadium, Chennai",40000,Chennai,India,South Asia,"India national football team*, Indian Bank Recreational Club",Association football
Al-Shaab Stadium,40000,Baghdad,Iraq,West Asia,Baghdad Derbies,Association football
Batakan Stadium,40000,Balikpapan,Indonesia,Southeast Asia,Persiba Balikpapan,Association football
TDECU Stadium,40000,Houston,United States,North America,"Houston Cougars football, Houston Roughnecks",American football
Hang Jebat Stadium,40000,Malacca,Malaysia,Southeast Asia,Melaka Telekom,Association football
Peoples Football Stadium[152],40000,Karachi,Pakistan,South Asia,"HBL FC, Pakistan national football team",Association football
Castelão,40000,São Luís,Brazil,South America,"Moto Club, Sampaio Corrêa",Association football
Stade Mohamed Hamlaoui,40000,Constantine,Algeria,Africa,Club Sportif de Constantine,Association football
Hong Kong Stadium,40000,Hong Kong,China,East Asia,"Hong Kong national football team, South China AA","Association football, Rugby union"
JRD Tata Sports Complex,40000,Jamshedpur,India,South Asia,local football teams,Association football
M. Chinnaswamy Stadium,40000,Bengaluru,India,South Asia,"Karnataka cricket team, Royal Challengers Bangalore, Indian Cricket Team",Cricket
March 28 Stadium,40000,Benghazi,Libya,Africa,"Al-Ahly Benghazi, Al-Nasr Benghazi, Al Tahaddy Benghazi, Libya national football team*",Association football
Negeri Pulau Pinang Stadium,40000,Batu Kawan,Malaysia,Southeast Asia,Penang FA*,Association football
Accra Sports Stadium,40000,Accra,Ghana,Africa,"Accra Hearts of Oak Sporting Club, Great Olympics",Association football
Pratt & Whitney Stadium,40000,"East Hartford, Connecticut",United States,North America,UConn Huskies football,American football
Sarawak Stadium,40000,Kuching,Malaysia,Southeast Asia,Sarawak FA,Association football
Stade d'Angondjé,40000,Angondjé,Gabon,Africa,Gabon national football team,Association football
Bo'an Stadium,40000,"Shenzhen, Guangdong",China,East Asia,Shenzhen Ruby F.C.,Association football
Kunming Tuodong Sports Center,40000,"Kunming, Yunnan",China,East Asia,"China national football team*, local football teams",Association football
Vidarbha Cricket Association Ground,40000,Nagpur,India,South Asia,Vidarbha cricket team,Cricket
R. Premadasa Stadium,40000,Colombo,Sri Lanka,South Asia,Sri Lanka national cricket team,Cricket
Bogyoke Aung San Stadium,40000,Yangon,Myanmar,Southeast Asia,local football teams,Association football
Wuhu Olympic Stadium,40000,"Wuhu, Anhui",China,East Asia,local football teams,Association football
Nippert Stadium,40000,Cincinnati,United States,North America,"Cincinnati Bearcats football, FC Cincinnati","American football, Association football"
Hauptstadion,40000,Aachen,Germany,Europe,Aachen-Laurensberger Rennverein e.V.,equestrian and show jumping
Xining Stadium,40000,Xining,China,East Asia,local football teams,Association football
Shaoxing China Textile City Sports Center,40000,Shaoxing,China,East Asia,,Athletics
Bao'an Stadium,40000,Shenzhen,China,East Asia,,Association Football
Anqing Sports Centre Stadium,40000,Anqing,China,East Asia,,Athletics
