Stadium,Capacity,City,Country,Region,Teams,Sports
Lucas Oil Stadium,63000,Indianapolis,United States,North America,"Indianapolis Colts, Indy Eleven, occasional NCAA men's basketball events","American football, association football, basketball"
Kenan Memorial Stadium,62980,"Chapel Hill, North Carolina",United States,North America,North Carolina Tar Heels football,American football
Tottenham Hotspur Stadium,62850,London,United Kingdom,Europe,Tottenham Hotspur F.C.,Association football
Ellis Park Stadium,62567,Johannesburg,South Africa,Africa,"Golden Lions, Lions, Orlando Pirates F.C.","Rugby union, association football"
Ross–Ade Stadium,62500,"West Lafayette, Indiana",United States,North America,Purdue Boilermakers football,American football
Veltins-Arena,62271,Gelsenkirchen,Germany,Europe,FC Schalke 04,Association football
Mineirão Stadium,62170,Belo Horizonte,Brazil,South America,"Clube Atlético Mineiro, Cruzeiro Esporte Clube,",Association football
Yizhong Sports Center,62000,"Qingdao, Shandong",China,East Asia,Qingdao Jonoon*,Association football
Shanxi Sports Centre Stadium,62000,"Taiyuan, Shanxi",China,East Asia,,"Association football, athletics"
Jack Trice Stadium,61500,"Ames, Iowa",United States,North America,Iowa State Cyclones football,American football
Scott Stadium,61500,"Charlottesville, Virginia",United States,North America,Virginia Cavaliers football,American football
Soldier Field,61500,Chicago,United States,North America,Chicago Bears,American football
Yale Bowl,61446,"New Haven, Connecticut",United States,North America,Yale Bulldogs football,American football
Davis Wade Stadium,61337,"Starkville, Mississippi",United States,North America,Mississippi State Bulldogs football,American football
Optus Stadium,61266,Perth,Australia,Oceania,"Fremantle FC, West Coast Eagles, Australia Wallabies*, Perth Scorchers, Australia national cricket team*","Australian rules football, rugby union, cricket"
Dalian Sports Center Stadium,61000,"Dalian, Liaoning",China,East Asia,Dalian Professional F.C.,"Association football, athletics"
Cardinal Stadium,61000,"Louisville, Kentucky",United States,North America,Louisville Cardinals football,American football
Kroger Field,61000,"Lexington, Kentucky",United States,North America,Kentucky Wildcats football,American football
Benito Villamarín,60721,Seville,Spain,Europe,Real Betis,Association football
Memorial Stadium,60670,"Champaign, Illinois",United States,North America,Illinois Fighting Illini football,American football
Mercedes-Benz Arena,60649,Stuttgart,Germany,Europe,VfB Stuttgart,Association football
Grêmio Arena,60540,Porto Alegre,Brazil,South America,Grêmio,Association football
Mississippi Veterans Memorial Stadium,60492,"Jackson, Mississippi",United States,North America,Jackson State Tigers,American football
Jones AT&T Stadium,60454,"Lubbock, Texas",United States,North America,Texas Tech Red Raiders football,American football
Celtic Park,60411,Glasgow,United Kingdom,Europe,Celtic,Association football
Emirates Stadium,60338,London,United Kingdom,Europe,Arsenal,Association football
Shenzhen Universiade Sports Centre,60334,Shenzhen,China,East Asia,,Athletics
Stadio San Paolo,60240,Naples,Italy,Europe,Napoli,Association football
Boone Pickens Stadium,60218,"Stillwater, Oklahoma",United States,North America,Oklahoma State Cowboys football,American football
Estádio do Arruda,60044,Recife,Brazil,South America,Santa Cruz Futebol Clube,Association football
"Jawaharlal Nehru Stadium, Delhi",60000,Delhi,India,South Asia,India national football team*,"Association football, athletics,cricket"
King Abdullah Sports City,60000,Jeddah,Saudi Arabia,West Asia,Saudi national football team*,Association football
Estadio Libertadores de América,60000,Avellaneda,Argentina,South America,Club Atlético Independiente,Association football
Dr. Bhupen Hazarika Cricket Stadium,60000,Guwahati,India,South Asia,"Assam Cricket Association, India national cricket team",Cricket
Estadio Monumental Virgen de Chapi,60000,Arequipa,Peru,South America,"FBC Melgar, Club IDUNSA",Association football
Mountaineer Field at Milan Puskar Stadium,60000,"Morgantown, West Virginia",United States,North America,West Virginia Mountaineers football,American football
National Heroes Stadium,60000,Lusaka,Zambia,Africa,Zambia national football team,Association football
Abuja Stadium,60000,Abuja,Nigeria,Africa,Nigeria national football team,Association football
Lake Tanganyika Stadium,60000,Kigoma,Tanzania,Africa,Reli FC*,Association football
Benjamin Mkapa National Stadium,60000,Dar es Salaam,Tanzania,Africa,Tanzania national football team,Association football
Shenyang Olympic Sports Center Stadium,60000,"Shenyang, Liaoning",China,East Asia,,"Association football, athletics"
Stade Leopold Senghor,60000,Dakar,Senegal,Africa,"Senegal national football team, ASC Jeanne d'Arc",Association football
Moi International Sports Centre,60000,Nairobi,Kenya,Africa,Kenya national football team,Association football
Nanjing Olympic Sports Center,60000,"Nanjing, Jiangsu",China,East Asia,Jiangsu Sainty F.C.,"Association football, athletics"
National Sports Stadium,60000,Harare,Zimbabwe,Africa,Zimbabwe national football team,"Association football, athletics"
Odi Stadium,60000,Mabopane,South Africa,Africa,Garankuwa United,Association football
Tianhe Stadium,60000,"Guangzhou, Guangdong",China,East Asia,Guangzhou Evergrande F.C.,Association football
Tianjin Olympic Centre Stadium,60000,Tianjin,China,East Asia,Tianjin Teda F.C.,Association football
Ordos Sports Centre Stadium,60000,Ordos,China,East Asia,,Athletics
Wuhan Sports Center Stadium,60000,"Wuhan, Hubei",China,East Asia,Wuhan Zall F.C.,Association football
Hohhot City Stadium,60000,"Hohhot, Inner Mongolia",China,East Asia,local football teams,Association football
Jinan Olympic Sports Center Stadium,60000,"Jinan, Shandong",China,East Asia,Shandong Luneng Taishan F.C.,"Association football, athletics"
Hefei Olympic Sports Center Stadium,60000,"Hefei, Anhui",China,East Asia,local football teams,"Association football, athletics"
Harbin Sports City Center Stadium,60000,"Harbin, Heilongjiang",China,East Asia,local football teams,"Association football, athletics"
Guangxi Sports Center Stadium,60000,"Nanning, Guangxi",China,East Asia,local football teams,"Association football, athletics"
Haixia Olympic Center Stadium,59562,Fuzhou,China,East Asia,,Athletics
Liberty Bowl Memorial Stadium,59308,"Memphis, Tennessee",United States,North America,Memphis Tigers football,American football
